Catcode,Catname,Catorder,Industry,Sector,"Sector Long",Catgroup
A0000,Agriculture,A11,Misc Agriculture,Agribusiness,"Agribusiness",Private Sector
A1000,Crop production & basic processing,A01,Crop Production & Basic Processing,Agribusiness,"Agribusiness",Private Sector
A1100,Cotton,A01,Crop Production & Basic Processing,Agribusiness,"Agribusiness",Private Sector
A1200,Sugar cane & sugar beets,A01,Crop Production & Basic Processing,Agribusiness,"Agribusiness",Private Sector
A1300,Tobacco & Tobacco products,A02,Tobacco,Agribusiness,"Agribusiness",Private Sector
A1400,"Vegetables, fruits and tree nut",A01,Crop Production & Basic Processing,Agribusiness,"Agribusiness",Private Sector
A1500,"Wheat, corn, soybeans and cash grain",A01,Crop Production & Basic Processing,Agribusiness,"Agribusiness",Private Sector
A1600,"Other commodities (incl rice, peanuts, honey)",A01,Crop Production & Basic Processing,Agribusiness,"Agribusiness",Private Sector
A2000,Milk & dairy producers,A04,Dairy,Agribusiness,"Agribusiness",Private Sector
A2300,Poultry & eggs,A05,Poultry & Eggs,Agribusiness,"Agribusiness",Private Sector
A3000,Livestock,A06,Livestock,Agribusiness,"Agribusiness",Private Sector
A3100,Animal feed & health products,A07,Agricultural Services/Products,Agribusiness,"Agribusiness",Private Sector
A3200,Sheep and Wool Producers,A06,Livestock,Agribusiness,"Agribusiness",Private Sector
A3300,Feedlots & related livestock services,A06,Livestock,Agribusiness,"Agribusiness",Private Sector
A3500,Horse breeders,A06,Livestock,Agribusiness,"Agribusiness",Private Sector
A4000,Agricultural services & related industries,A07,Agricultural Services/Products,Agribusiness,"Agribusiness",Private Sector
A4100,Agricultural chemicals (fertilizers & pesticides),A07,Agricultural Services/Products,Agribusiness,"Agribusiness",Private Sector
A4200,Farm machinery & equipment,A07,Agricultural Services/Products,Agribusiness,"Agribusiness",Private Sector
A4300,Grain traders & terminals,A07,Agricultural Services/Products,Agribusiness,"Agribusiness",Private Sector
A4500,Veterinarians,A07,Agricultural Services/Products,Agribusiness,"Agribusiness",Private Sector
A5000,Forestry & Forest Products,A10,Forestry & Forest Products,Agribusiness,"Agribusiness",Private Sector
A5200,Paper & pulp mills and paper manufacturing,A10,Forestry & Forest Products,Agribusiness,"Agribusiness",Private Sector
A6000,Farm organizations & cooperatives,A07,Agricultural Services/Products,Agribusiness,"Agribusiness",Private Sector
A6500,Farm bureaus,A07,Agricultural Services/Products,Agribusiness,"Agribusiness",Private Sector
A8000,Florists & Nursery Services,A07,Agricultural Services/Products,Agribusiness,"Agribusiness",Private Sector
B0000,Construction & Public Works,C01,General Contractors,Construction,"Construction",Private Sector
B0500,Builders associations,C01,General Contractors,Construction,"Construction",Private Sector
B1000,"Public works, industrial & commercial construction",C01,General Contractors,Construction,"Construction",Private Sector
B1200,Dredging Contractors,C01,General Contractors,Construction,"Construction",Private Sector
B1500,"Construction, unclassified",C01,General Contractors,Construction,"Construction",Private Sector
B2000,Residential construction,C02,Home Builders,Construction,"Construction",Private Sector
B2400,Mobile home construction,C02,Home Builders,Construction,"Construction",Private Sector
B3000,Special trade contractors,C03,Special Trade Contractors,Construction,"Construction",Private Sector
B3200,Electrical contractors,C03,Special Trade Contractors,Construction,"Construction",Private Sector
B3400,"Plumbing, heating & air conditioning",C03,Special Trade Contractors,Construction,"Construction",Private Sector
B3600,Landscaping & Excavation Svcs,C03,Special Trade Contractors,Construction,"Construction",Private Sector
B4000,"Engineering, architecture & construction mgmt svcs",C04,Construction Services,Construction,"Construction",Private Sector
B4200,Architectural services,C04,Construction Services,Construction,"Construction",Private Sector
B4300,Surveying,C04,Construction Services,Construction,"Construction",Private Sector
B4400,Engineers - type unknown,C04,Construction Services,Construction,"Construction",Private Sector
B5000,Building materials,C05,Building Materials & Equipment,Construction,"Construction",Private Sector
B5100,"Stone, clay, glass & concrete products",C05,Building Materials & Equipment,Construction,"Construction",Private Sector
B5200,Lumber and wood products,C05,Building Materials & Equipment,Construction,"Construction",Private Sector
B5300,Plumbing & pipe products,C05,Building Materials & Equipment,Construction,"Construction",Private Sector
B5400,Other construction-related products,C05,Building Materials & Equipment,Construction,"Construction",Private Sector
B5500,Electrical Supply,C05,Building Materials & Equipment,Construction,"Construction",Private Sector
