,Amount,Count,Cycle,Destination,Name,Party,RealCode
0,1750.0,4,1992,Cand,Alan L Keyes (R),R,A
259,34900.0,72,1992,Cand,Patrick J Buchanan (R),R,T
258,58275.0,138,1992,Cand,Lyndon H LaRouche Jr (D),D,T
257,1650.0,7,1992,Cand,Lenora B Fulani (D),D,T
256,4550.0,13,1992,Cand,Lawrence Douglas Wilder (D),D,T
255,225.0,1,1992,Cand,Larry Agran (D),D,T
254,10800.0,27,1992,Cand,John S Hagelin (3),3,T
253,500.0,1,1992,Cand,Jesse Jackson (D),D,T
252,1000.0,1,1992,Cand,James Patrick Lennane (R),R,T
251,481.0,2,1992,Cand,James (Bo) Gritz (I),I,T
250,5500.0,6,1992,Cand,Jack Kemp (R),R,T
249,1700.0,6,1992,Cand,Howard Phillips (3),3,T
248,722982.0,851,1992,Cand,George Bush (R),R,T
247,550.0,2,1992,Cand,David Duke (R),R,T
246,42750.0,46,1992,Cand,Bob Dole (R),R,T
245,218928.0,423,1992,Cand,Bill Clinton (D),D,T
244,2200.0,6,1992,Cand,Andre V Marrou (L),L,T
243,4110.0,8,1992,Cand,Alan L Keyes (R),R,T
242,38402.0,59,1992,Cand,Ross Perot (I),I,M
241,3000.0,4,1992,Cand,Richard D Lamm (3),3,M
260,29620.0,66,1992,Cand,Paul Tsongas (D),D,T
261,2750.0,5,1992,Cand,Richard D Lamm (3),3,T
262,18646.0,33,1992,Cand,Ross Perot (I),I,T
263,850.0,2,1992,Cand,Al Gore (D),D,X
284,1307905.0,2974,1992,Cand,Lyndon H LaRouche Jr (D),D,X
283,16825.0,53,1992,Cand,Lenora B Fulani (D),D,X
282,23125.0,71,1992,Cand,Lawrence Douglas Wilder (D),D,X
281,36700.0,113,1992,Cand,Larry Agran (D),D,X
280,44839.0,128,1992,Cand,John S Hagelin (3),3,X
279,1250.0,3,1992,Cand,John Quinn Brisben (3),3,X
278,3000.0,3,1992,Cand,Jim Boren (D),D,X
277,14550.0,25,1992,Cand,Jesse Jackson (D),D,X
276,1000.0,1,1992,Cand,James Patrick Lennane (R),R,X
240,63500.0,117,1992,Cand,Paul Tsongas (D),D,M
274,14830.0,14,1992,Cand,Jack Kemp (R),R,X
272,1992899.0,2978,1992,Cand,George Bush (R),R,X
271,3323.0,6,1992,Cand,Eugene J McCarthy (D),D,X
270,1000.0,1,1992,Cand,Erik M Thompson (U),U,X
269,250.0,1,1992,Cand,Endicott Peabody (D),D,X
268,5850.0,16,1992,Cand,David Duke (R),R,X
267,37300.0,60,1992,Cand,Bob Dole (R),R,X
266,2035650.0,5515,1992,Cand,Bill Clinton (D),D,X
265,14673.0,38,1992,Cand,Andre V Marrou (L),L,X
264,41760.0,105,1992,Cand,Alan L Keyes (R),R,X
273,28678.0,70,1992,Cand,Howard Phillips (3),3,X
239,44745.0,98,1992,Cand,Patrick J Buchanan (R),R,M
238,14335.0,38,1992,Cand,Lyndon H LaRouche Jr (D),D,M
237,10750.0,21,1992,Cand,Lawrence Douglas Wilder (D),D,M
212,500.0,1,1992,Cand,Richard B Boddie (L),L,K
211,337941.0,792,1992,Cand,Paul Tsongas (D),D,K
210,40100.0,94,1992,Cand,Patrick J Buchanan (R),R,K
209,7200.0,19,1992,Cand,Lyndon H LaRouche Jr (D),D,K
208,7450.0,21,1992,Cand,Lenora B Fulani (D),D,K
207,64025.0,161,1992,Cand,Lawrence Douglas Wilder (D),D,K
206,11100.0,32,1992,Cand,Larry Agran (D),D,K
205,5500.0,17,1992,Cand,John S Hagelin (3),3,K
204,1000.0,1,1992,Cand,John Quinn Brisben (3),3,K
213,74249.0,130,1992,Cand,Richard D Lamm (3),3,K
203,8375.0,12,1992,Cand,Jesse Jackson (D),D,K
201,12150.0,13,1992,Cand,Jack Kemp (R),R,K
200,6300.0,10,1992,Cand,Howard Phillips (3),3,K
199,2266322.0,2855,1992,Cand,George Bush (R),R,K
198,750.0,2,1992,Cand,Eugene J McCarthy (D),D,K
197,500.0,2,1992,Cand,Endicott Peabody (D),D,K
196,250.0,1,1992,Cand,Curly Thornton (D),D,K
195,129900.0,151,1992,Cand,Bob Dole (R),R,K
194,4021869.0,8179,1992,Cand,Bill Clinton (D),D,K
193,5500.0,15,1992,Cand,Andre V Marrou (L),L,K
202,1000.0,1,1992,Cand,James Patrick Lennane (R),R,K
285,350150.0,1066,1992,Cand,Patrick J Buchanan (R),R,X
214,21355.0,48,1992,Cand,Ross Perot (I),I,K
216,250.0,1,1992,Cand,William Parker Kreml (D),D,K
236,1750.0,2,1992,Cand,Larry Agran (D),D,M
235,4500.0,9,1992,Cand,John S Hagelin (3),3,M
234,7000.0,3,1992,Cand,Jesse Jackson (D),D,M
233,500.0,2,1992,Cand,James (Bo) Gritz (I),I,M
232,12285.0,14,1992,Cand,Jack Kemp (R),R,M
231,4350.0,9,1992,Cand,Howard Phillips (3),3,M
230,1047160.0,1186,1992,Cand,George Bush (R),R,M
229,300.0,1,1992,Cand,David Duke (R),R,M
228,31650.0,36,1992,Cand,Bob Dole (R),R,M
215,1000.0,1,1992,Cand,Thomas Robert Laughlin (D),D,K
227,265600.0,479,1992,Cand,Bill Clinton (D),D,M
225,3550.0,9,1992,Cand,Andre V Marrou (L),L,M
224,7660.0,12,1992,Cand,Alan L Keyes (R),R,M
223,370.0,1,1992,Cand,Ross Perot (I),I,L
222,250.0,1,1992,Cand,Paul Tsongas (D),D,L
221,750.0,2,1992,Cand,Lyndon H LaRouche Jr (D),D,L
220,3050.0,6,1992,Cand,Jesse Jackson (D),D,L
219,4200.0,5,1992,Cand,George Bush (R),R,L
218,34475.0,86,1992,Cand,Bill Clinton (D),D,L
217,250.0,1,1992,Cand,Alan L Keyes (R),R,L
226,250.0,1,1992,Cand,Bill Bradley (D),D,M
286,168741.0,408,1992,Cand,Paul Tsongas (D),D,X
287,1650.0,4,1992,Cand,Richard B Boddie (L),L,X
288,53694.0,100,1992,Cand,Richard D Lamm (3),3,X
356,200.0,1,1992,Cand,Tennie Beatrice Rogers (R),R,Z
355,11976.0,2,1992,Cand,Stephen Burke (D),D,Z
354,535.0,2,1992,Cand,Stanley Onease (Jr) Lock (D),D,Z
353,6763.0,17,1992,Cand,Russell Hirshon (D),D,Z
352,59619276.0,4144,1992,Cand,Ross Perot (I),I,Z
351,7255.0,2,1992,Cand,Robert Adgate Congdon (U),U,Z
350,5008.0,1,1992,Cand,Robert A Selwa (U),U,Z
349,6695.0,4,1992,Cand,Richard D Lamm (3),3,Z
348,-4900.0,5,1992,Cand,Pete Wilson (R),R,Z
357,210000.0,1,1992,Cand,Thomas Robert Laughlin (D),D,Z
347,-1030.0,8,1992,Cand,Paul Tsongas (D),D,Z
345,-17610.0,34,1992,Cand,Michael S Dukakis (D),D,Z
344,-1525.0,49,1992,Cand,Marion Gordon (Pat) Robertson (R),R,Z
343,-557.0,17,1992,Cand,Lenora B Fulani (D),D,Z
342,-2483.0,38,1992,Cand,Larry Agran (D),D,Z
341,425.0,2,1992,Cand,Kenneth E Klammer (D),D,Z
340,23882.0,46,1992,Cand,John S Hagelin (3),3,Z
339,10000.0,4,1992,Cand,John Hancock Abbott (D),D,Z
338,6000.0,1,1992,Cand,Jim Hayes (D),D,Z
337,300.0,1,1992,Cand,Jesse Jackson (D),D,Z
346,-29379.0,112,1992,Cand,Patrick J Buchanan (R),R,Z
336,50000.0,2,1992,Cand,James Patrick Lennane (R),R,Z
358,4650.0,6,1992,Cand,Thomas S Fabish (R),R,Z
360,500.0,1,1992,Cand,Bill Clinton (D),D,k
0,0.0,0,1992,Cand,,U,A
5,0.0,0,1992,Cand,,U,C
9,0.0,0,1992,Cand,,U,B
13,0.0,0,1992,Cand,,U,E
17,0.0,0,1992,Cand,,U,D
22,0.0,0,1992,Cand,,U,G
29,0.0,0,1992,Cand,,U,H
33,0.0,0,1992,Cand,,U,K
37,0.0,0,1992,Cand,,U,J
359,36086.0,16,1992,Cand,Willie Felix Carter (D),D,Z
41,0.0,0,1992,Cand,,U,M
46,0.0,0,1992,Cand,,3,L
47,0.0,0,1992,Cand,,U,L
54,0.0,0,1992,Cand,,U,T
58,0.0,0,1992,Cand,,U,Y
66,0.0,0,1992,Cand,,I,k
67,0.0,0,1992,Cand,,L,k
68,0.0,0,1992,Cand,,3,k
69,0.0,0,1992,Cand,,R,k
70,0.0,0,1992,Cand,,U,k
45,0.0,0,1992,Cand,,L,L
192,500.0,1,1992,Cand,Alexander Haig (R),R,K
335,21053.0,374,1992,Cand,Howard Phillips (3),3,Z
333,-974873.0,1242,1992,Cand,George Bush (R),R,Z
308,29560.0,88,1992,Cand,Larry Agran (D),D,Y
307,74347.0,230,1992,Cand,John S Hagelin (3),3,Y
306,1000.0,1,1992,Cand,John Quinn Brisben (3),3,Y
305,4450.0,8,1992,Cand,Jesse Jackson (D),D,Y
304,1000.0,1,1992,Cand,James Patrick Lennane (R),R,Y
303,9190.0,32,1992,Cand,James (Bo) Gritz (I),I,Y
302,-128266.0,287,1992,Cand,Jack Kemp (R),R,Y
301,19463.0,49,1992,Cand,Howard Phillips (3),3,Y
300,1829971.0,2399,1992,Cand,George Bush (R),R,Y
309,41600.0,120,1992,Cand,Lawrence Douglas Wilder (D),D,Y
299,354.0,1,1992,Cand,Gene Smith (D),D,Y
297,1425.0,6,1992,Cand,David Duke (R),R,Y
296,5031.0,8,1992,Cand,Curly Thornton (D),D,Y
295,4318.0,174,1992,Cand,Bob Dole (R),R,Y
294,1932907.0,5872,1992,Cand,Bill Clinton (D),D,Y
293,215.0,2,1992,Cand,Bill Bradley (D),D,Y
292,23899.0,76,1992,Cand,Andre V Marrou (L),L,Y
291,14530.0,36,1992,Cand,Alan L Keyes (R),R,Y
290,1200.0,3,1992,Cand,Al Gore (D),D,Y
289,120302.0,255,1992,Cand,Ross Perot (I),I,X
298,1000.0,1,1992,Cand,Eugene J McCarthy (D),D,Y
334,6000.0,3,1992,Cand,George William Benns (D),D,Z
310,34075.0,116,1992,Cand,Lenora B Fulani (D),D,Y
312,211100.0,556,1992,Cand,Patrick J Buchanan (R),R,Y
332,8959.0,12,1992,Cand,George A Zimmermann (R),R,Z
331,161.0,2,1992,Cand,Frank Ross Mrs Stewart (D),D,Z
