,Amount,Count,Cycle,Destination,Party,RealCode
0,48176.0,111,1992,Cand,3,A
990,0.0,0,1992,Cmte, ,k
284,0.0,0,1992,Cmte, ,M
285,0.0,0,1992,Cand, ,M
286,0.0,0,1992,Cmte,I,M
287,0.0,0,1992,Cmte,U,M
288,0.0,0,1992,Cand,U,M
314,0.0,0,1992,Cmte, ,L
315,0.0,0,1992,Cand, ,L
316,0.0,0,1992,Cmte,I,L
317,0.0,0,1992,Cand,I,L
318,0.0,0,1992,Cmte,L,L
319,0.0,0,1992,Cand,L,L
320,0.0,0,1992,Cmte,3,L
321,0.0,0,1992,Cmte,U,L
322,0.0,0,1992,Cand,U,L
363,0.0,0,1992,Cmte, ,T
364,0.0,0,1992,Cand, ,T
365,0.0,0,1992,Cmte,I,T
366,0.0,0,1992,Cmte,U,T
367,0.0,0,1992,Cand,U,T
389,0.0,0,1992,Cmte, ,Y
390,0.0,0,1992,Cand, ,Y
391,0.0,0,1992,Cmte,I,Y
392,0.0,0,1992,Cmte,U,Y
393,0.0,0,1992,Cand,U,Y
991,0.0,0,1992,Cand, ,k
992,0.0,0,1992,Cmte,I,k
993,0.0,0,1992,Cand,I,k
257,0.0,0,1992,Cand,U,J
175,0.0,0,1992,Cmte,U,F
197,0.0,0,1992,Cmte, ,H
198,0.0,0,1992,Cand, ,H
199,0.0,0,1992,Cmte,I,H
200,0.0,0,1992,Cmte,U,H
201,0.0,0,1992,Cand,U,H
1001,0.0,0,1992,Cand,U,k
1000,0.0,0,1992,Cmte,U,k
222,0.0,0,1992,Cmte, ,K
223,0.0,0,1992,Cand, ,K
224,0.0,0,1992,Cmte,I,K
225,0.0,0,1992,Cand,I,K
412,0.0,0,1992,Cmte, ,X
226,0.0,0,1992,Cmte,U,K
999,0.0,0,1992,Cand,R,k
998,0.0,0,1992,Cmte,R,k
997,0.0,0,1992,Cand,3,k
996,0.0,0,1992,Cmte,3,k
995,0.0,0,1992,Cand,L,k
994,0.0,0,1992,Cmte,L,k
251,0.0,0,1992,Cmte, ,J
252,0.0,0,1992,Cand, ,J
253,0.0,0,1992,Cmte,I,J
254,0.0,0,1992,Cand,I,J
255,0.0,0,1992,Cmte,L,J
256,0.0,0,1992,Cmte,U,J
227,0.0,0,1992,Cand,U,K
413,0.0,0,1992,Cand, ,X
415,0.0,0,1992,Cmte,U,X
434,0.0,0,1992,Cmte, ,Z
920,0.0,0,1992,Cand, ,h
919,0.0,0,1992,Cmte, ,h
532,0.0,0,1992,Cmte, ,b
533,0.0,0,1992,Cand, ,b
534,0.0,0,1992,Cmte,D,b
535,0.0,0,1992,Cand,D,b
536,0.0,0,1992,Cmte,I,b
537,0.0,0,1992,Cand,I,b
538,0.0,0,1992,Cmte,L,b
539,0.0,0,1992,Cand,L,b
540,0.0,0,1992,Cmte,3,b
541,0.0,0,1992,Cand,3,b
921,0.0,0,1992,Cmte,D,h
542,0.0,0,1992,Cmte,R,b
544,0.0,0,1992,Cmte,U,b
545,0.0,0,1992,Cand,U,b
611,0.0,0,1992,Cmte, ,e
612,0.0,0,1992,Cand, ,e
613,0.0,0,1992,Cmte,D,e
614,0.0,0,1992,Cand,D,e
615,0.0,0,1992,Cmte,I,e
616,0.0,0,1992,Cand,I,e
617,0.0,0,1992,Cmte,L,e
618,0.0,0,1992,Cand,L,e
619,0.0,0,1992,Cmte,3,e
620,0.0,0,1992,Cand,3,e
543,0.0,0,1992,Cand,R,b
174,0.0,0,1992,Cmte,I,F
922,0.0,0,1992,Cand,D,h
924,0.0,0,1992,Cand,I,h
435,0.0,0,1992,Cand, ,Z
436,0.0,0,1992,Cmte,I,Z
437,0.0,0,1992,Cand,I,Z
438,0.0,0,1992,Cmte,U,Z
932,0.0,0,1992,Cand,U,h
931,0.0,0,1992,Cmte,U,h
457,0.0,0,1992,Cmte, ,c
458,0.0,0,1992,Cand, ,c
459,0.0,0,1992,Cmte,D,c
460,0.0,0,1992,Cand,D,c
461,0.0,0,1992,Cmte,I,c
462,0.0,0,1992,Cand,I,c
923,0.0,0,1992,Cmte,I,h
463,0.0,0,1992,Cmte,L,c
465,0.0,0,1992,Cmte,3,c
466,0.0,0,1992,Cand,3,c
467,0.0,0,1992,Cmte,R,c
468,0.0,0,1992,Cand,R,c
469,0.0,0,1992,Cmte,U,c
470,0.0,0,1992,Cand,U,c
930,0.0,0,1992,Cand,R,h
929,0.0,0,1992,Cmte,R,h
928,0.0,0,1992,Cand,3,h
927,0.0,0,1992,Cmte,3,h
926,0.0,0,1992,Cand,L,h
925,0.0,0,1992,Cmte,L,h
464,0.0,0,1992,Cand,L,c
621,0.0,0,1992,Cmte,R,e
173,0.0,0,1992,Cand, ,F
150,0.0,0,1992,Cand,U,G
1317,0.0,0,1992,Cand,R,y
1316,0.0,0,1992,Cmte,R,y
1315,0.0,0,1992,Cand,3,y
1314,0.0,0,1992,Cmte,3,y
1313,0.0,0,1992,Cand,L,y
1312,0.0,0,1992,Cmte,L,y
1311,0.0,0,1992,Cand,I,y
1310,0.0,0,1992,Cmte,I,y
1309,0.0,0,1992,Cand,D,y
1308,0.0,0,1992,Cmte,D,y
1307,0.0,0,1992,Cand, ,y
1306,0.0,0,1992,Cmte, ,y
1237,0.0,0,1992,Cand,U,t
1236,0.0,0,1992,Cmte,U,t
1235,0.0,0,1992,Cand,R,t
1234,0.0,0,1992,Cmte,R,t
1233,0.0,0,1992,Cand,3,t
1232,0.0,0,1992,Cmte,3,t
1231,0.0,0,1992,Cand,L,t
1230,0.0,0,1992,Cmte,L,t
1229,0.0,0,1992,Cand,I,t
1228,0.0,0,1992,Cmte,I,t
1227,0.0,0,1992,Cand,D,t
1226,0.0,0,1992,Cmte,D,t
1225,0.0,0,1992,Cand, ,t
1474,0.0,0,1992,Cand,U,z
1473,0.0,0,1992,Cmte,U,z
1472,0.0,0,1992,Cand,R,z
1471,0.0,0,1992,Cmte,R,z
1399,0.0,0,1992,Cand,U,x
1398,0.0,0,1992,Cmte,U,x
1397,0.0,0,1992,Cand,R,x
1396,0.0,0,1992,Cmte,R,x
1395,0.0,0,1992,Cand,3,x
1394,0.0,0,1992,Cmte,3,x
1393,0.0,0,1992,Cand,L,x
1392,0.0,0,1992,Cmte,L,x
1391,0.0,0,1992,Cand,I,x
1390,0.0,0,1992,Cmte,I,x
1389,0.0,0,1992,Cand,D,x
1388,0.0,0,1992,Cmte,D,x
1224,0.0,0,1992,Cmte, ,t
1387,0.0,0,1992,Cand, ,x
1319,0.0,0,1992,Cand,U,y
1318,0.0,0,1992,Cmte,U,y
1461,0.0,0,1992,Cmte, ,z
1462,0.0,0,1992,Cand, ,z
1463,0.0,0,1992,Cmte,D,z
1464,0.0,0,1992,Cand,D,z
1465,0.0,0,1992,Cmte,I,z
1466,0.0,0,1992,Cand,I,z
1467,0.0,0,1992,Cmte,L,z
1468,0.0,0,1992,Cand,L,z
1469,0.0,0,1992,Cmte,3,z
1470,0.0,0,1992,Cand,3,z
1386,0.0,0,1992,Cmte, ,x
1160,0.0,0,1992,Cand,U,m
1159,0.0,0,1992,Cmte,U,m
1158,0.0,0,1992,Cand,R,m
29,0.0,0,1992,Cmte, ,C
30,0.0,0,1992,Cand, ,C
31,0.0,0,1992,Cmte,I,C
32,0.0,0,1992,Cmte,U,C
33,0.0,0,1992,Cand,U,C
55,0.0,0,1992,Cmte, ,B
56,0.0,0,1992,Cand, ,B
57,0.0,0,1992,Cmte,I,B
58,0.0,0,1992,Cmte,U,B
59,0.0,0,1992,Cand,U,B
81,0.0,0,1992,Cmte, ,E
82,0.0,0,1992,Cand, ,E
1066,0.0,0,1992,Cmte, ,j
83,0.0,0,1992,Cmte,I,E
85,0.0,0,1992,Cand,U,E
112,0.0,0,1992,Cmte, ,D
113,0.0,0,1992,Cand, ,D
114,0.0,0,1992,Cmte,I,D
115,0.0,0,1992,Cand,I,D
116,0.0,0,1992,Cmte,3,D
117,0.0,0,1992,Cmte,U,D
118,0.0,0,1992,Cand,U,D
146,0.0,0,1992,Cmte, ,G
147,0.0,0,1992,Cand, ,G
148,0.0,0,1992,Cmte,I,G
149,0.0,0,1992,Cmte,U,G
84,0.0,0,1992,Cmte,U,E
172,0.0,0,1992,Cmte, ,F
1067,0.0,0,1992,Cand, ,j
1069,0.0,0,1992,Cand,D,j
1157,0.0,0,1992,Cmte,R,m
1156,0.0,0,1992,Cand,3,m
1155,0.0,0,1992,Cmte,3,m
1154,0.0,0,1992,Cand,L,m
1153,0.0,0,1992,Cmte,L,m
1152,0.0,0,1992,Cand,I,m
1151,0.0,0,1992,Cmte,I,m
1150,0.0,0,1992,Cand,D,m
1149,0.0,0,1992,Cmte,D,m
1148,0.0,0,1992,Cand, ,m
1147,0.0,0,1992,Cmte, ,m
1079,0.0,0,1992,Cand,U,j
1068,0.0,0,1992,Cmte,D,j
1078,0.0,0,1992,Cmte,U,j
1076,0.0,0,1992,Cmte,R,j
1075,0.0,0,1992,Cand,3,j
1074,0.0,0,1992,Cmte,3,j
1073,0.0,0,1992,Cand,L,j
1072,0.0,0,1992,Cmte,L,j
1071,0.0,0,1992,Cand,I,j
0,0.0,0,1992,Cmte, ,A
1,0.0,0,1992,Cand, ,A
2,0.0,0,1992,Cmte,I,A
3,0.0,0,1992,Cmte,U,A
4,0.0,0,1992,Cand,U,A
1070,0.0,0,1992,Cmte,I,j
1077,0.0,0,1992,Cand,R,j
622,0.0,0,1992,Cand,R,e
414,0.0,0,1992,Cmte,I,X
624,0.0,0,1992,Cand,U,e
