,Amount,Bucket,Count,Cycle,RealCode
0,2240.0,c,1,1992,A
24,0.0,a,0,1992,B
18,0.0,d,0,1992,C
17,0.0,b,0,1992,C
16,0.0,c,0,1992,C
15,0.0,a,0,1992,C
2,0.0,d,0,1992,A
1,0.0,b,0,1992,A
0,0.0,a,0,1992,A
133,0.0,a,0,1992,n
134,0.0,c,0,1992,n
135,0.0,b,0,1992,n
136,0.0,d,0,1992,n
143,0.0,c,0,1992,T
144,0.0,b,0,1992,T
145,0.0,d,0,1992,T
158,0.0,a,0,1992,Y
159,0.0,c,0,1992,Y
160,0.0,b,0,1992,Y
161,0.0,d,0,1992,Y
172,0.0,a,0,1992,X
173,0.0,c,0,1992,X
25,0.0,c,0,1992,B
26,0.0,b,0,1992,B
27,0.0,d,0,1992,B
43,0.0,a,0,1992,E
123,0.0,b,0,1992,L
122,0.0,c,0,1992,L
121,0.0,a,0,1992,L
107,0.0,d,0,1992,M
106,0.0,b,0,1992,M
105,0.0,c,0,1992,M
104,0.0,a,0,1992,M
96,0.0,d,0,1992,K
95,0.0,b,0,1992,K
94,0.0,c,0,1992,K
124,0.0,d,0,1992,L
93,0.0,a,0,1992,K
87,0.0,c,0,1992,F
78,0.0,d,0,1992,G
77,0.0,c,0,1992,G
62,0.0,d,0,1992,D
61,0.0,b,0,1992,D
60,0.0,c,0,1992,D
59,0.0,a,0,1992,D
46,0.0,d,0,1992,E
45,0.0,b,0,1992,E
44,0.0,c,0,1992,E
88,0.0,b,0,1992,F
175,0.0,d,0,1992,X
174,0.0,b,0,1992,X
7,379282.0,c,227,1992,H
13,300.0,a,1,1992,T
17,156704505.0,d,13841,1992,Z
16,19203525.0,c,10236,1992,Z
9,443933.0,a,1295,1992,J
11,351101.0,c,171,1992,J
6,123769.0,b,164,1992,H
12,891187.0,d,188,1992,J
5,87206.0,a,378,1992,H
10,677830.0,b,693,1992,J
14,28279807.0,a,87324,1992,Z
15,27872726.0,b,29648,1992,Z
3,750.0,a,2,1992,G
2,4653.0,d,1,1992,F
1,500.0,a,1,1992,F
4,1000.0,b,1,1992,G
8,3923543.0,d,303,1992,H
148,0.0,b,0,1996,T
31,2500.0,c,1,1996,Y
