,Cycle,Bucket,Amount,Count
0,1992,a,198113992,599474
1,1992,b,219056492,228014
2,1992,c,39936672,22089
3,1992,d,267773228,19664
4,1996,a,268392286,819366
5,1996,b,321217836,332811
6,1996,c,52905037,28861
7,1996,d,428384471,30435
10,2000,c,87194363,46107
11,2000,d,897595477,51120
8,2000,a,350662313,1042551
9,2000,b,512441094,526701
12,2004,a,541236104,1633261
13,2004,b,465041309,488519
14,2004,c,594594242,309155
15,2004,d,668936793,61613
16,2008,a,748452917,2311167
17,2008,b,552833969,584683
18,2008,c,1057625694,508045
19,2008,d,1024079691,103103
22,2012,c,1071716012,483849
20,2012,a,821881930,2541896
21,2012,b,534463054,563196
23,2012,d,2449216765,148209
