,Amount,Cycle,Destination,Party,RealCode
0,1750.0,1992,Cand,3,A0000
23171,0.0,1992,Cmte,3,T6250
23170,0.0,1992,Cand,L,T6250
23169,0.0,1992,Cmte,L,T6250
23168,0.0,1992,Cand,I,T6250
23167,0.0,1992,Cmte,I,T6250
23166,0.0,1992,Cand, ,T6250
23165,0.0,1992,Cmte, ,T6250
23110,0.0,1992,Cand,U,G2600
23109,0.0,1992,Cmte,U,G2600
23108,0.0,1992,Cmte,3,G2600
23107,0.0,1992,Cand,L,G2600
23106,0.0,1992,Cmte,L,G2600
23105,0.0,1992,Cand,I,G2600
23104,0.0,1992,Cmte,I,G2600
23103,0.0,1992,Cand, ,G2600
23172,0.0,1992,Cmte,U,T6250
23173,0.0,1992,Cand,U,T6250
23235,0.0,1992,Cmte, ,T1400
23236,0.0,1992,Cand, ,T1400
23314,0.0,1992,Cmte,L,X7000
23313,0.0,1992,Cand,I,X7000
23312,0.0,1992,Cmte,I,X7000
23311,0.0,1992,Cand, ,X7000
23310,0.0,1992,Cmte, ,X7000
23247,0.0,1992,Cand,U,T1400
23246,0.0,1992,Cmte,U,T1400
23102,0.0,1992,Cmte, ,G2600
23245,0.0,1992,Cmte,R,T1400
23243,0.0,1992,Cmte,3,T1400
23242,0.0,1992,Cand,L,T1400
23241,0.0,1992,Cmte,L,T1400
23240,0.0,1992,Cand,I,T1400
23239,0.0,1992,Cmte,I,T1400
23238,0.0,1992,Cand,D,T1400
23237,0.0,1992,Cmte,D,T1400
23244,0.0,1992,Cand,3,T1400
23315,0.0,1992,Cand,L,X7000
23065,0.0,1992,Cand,U,F4000
23063,0.0,1992,Cand,I,F4000
22915,0.0,1992,Cand,I,c2000
22914,0.0,1992,Cmte,I,c2000
22913,0.0,1992,Cand,D,c2000
22912,0.0,1992,Cmte,D,c2000
22911,0.0,1992,Cand, ,c2000
22910,0.0,1992,Cmte, ,c2000
22861,0.0,1992,Cand,U,C5000
22860,0.0,1992,Cmte,U,C5000
22859,0.0,1992,Cand,I,C5000
22858,0.0,1992,Cmte,I,C5000
22857,0.0,1992,Cand, ,C5000
22856,0.0,1992,Cmte, ,C5000
22815,0.0,1992,Cand,U,D2000
22814,0.0,1992,Cmte,U,D2000
22813,0.0,1992,Cmte,3,D2000
22916,0.0,1992,Cmte,L,c2000
22917,0.0,1992,Cand,L,c2000
22918,0.0,1992,Cmte,3,c2000
22919,0.0,1992,Cand,3,c2000
23062,0.0,1992,Cmte,I,F4000
23061,0.0,1992,Cand, ,F4000
23060,0.0,1992,Cmte, ,F4000
23009,0.0,1992,Cand,U,F1300
23008,0.0,1992,Cmte,U,F1300
23007,0.0,1992,Cmte,3,F1300
23006,0.0,1992,Cand,L,F1300
23064,0.0,1992,Cmte,U,F4000
23005,0.0,1992,Cmte,L,F1300
23003,0.0,1992,Cmte,I,F1300
23002,0.0,1992,Cand, ,F1300
23001,0.0,1992,Cmte, ,F1300
22923,0.0,1992,Cand,U,c2000
22922,0.0,1992,Cmte,U,c2000
22921,0.0,1992,Cand,R,c2000
22920,0.0,1992,Cmte,R,c2000
