,Amount,Cycle,Name,Party,RealCode,Type
0,100.0,1992,10th Dist Repub Congressional Cmte,R,Z,24K
53,0.0,1992,,R,A,24C
54,0.0,1992,,R,A,24N
55,0.0,1992,,R,A,24H
56,0.0,1992,,R,A,24K
57,0.0,1992,,R,A,24P
58,0.0,1992,,R,A,24R
52,0.0,1992,,R,A,24A
59,0.0,1992,,R,A,24Z
61,0.0,1992,,U,A,24F
62,0.0,1992,,U,A,24A
63,0.0,1992,,U,A,24C
64,0.0,1992,,U,A,24N
65,0.0,1992,,U,A,24H
66,0.0,1992,,U,A,24K
60,0.0,1992,,U,A,24E
67,0.0,1992,,U,A,24P
51,0.0,1992,,R,A,24F
49,0.0,1992,,3,A,24Z
35,0.0,1992,,L,A,24H
36,0.0,1992,,L,A,24K
37,0.0,1992,,L,A,24P
38,0.0,1992,,L,A,24R
39,0.0,1992,,L,A,24Z
40,0.0,1992,,3,A,24E
50,0.0,1992,,R,A,24E
41,0.0,1992,,3,A,24F
43,0.0,1992,,3,A,24C
44,0.0,1992,,3,A,24N
45,0.0,1992,,3,A,24H
46,0.0,1992,,3,A,24K
47,0.0,1992,,3,A,24P
48,0.0,1992,,3,A,24R
42,0.0,1992,,3,A,24A
34,0.0,1992,,L,A,24N
68,0.0,1992,,U,A,24R
413,0.0,1992,, ,C,24E
432,0.0,1992,,I,C,24E
433,0.0,1992,,I,C,24F
434,0.0,1992,,I,C,24A
435,0.0,1992,,I,C,24C
436,0.0,1992,,I,C,24N
437,0.0,1992,,I,C,24H
431,0.0,1992,,D,C,24Z
438,0.0,1992,,I,C,24K
440,0.0,1992,,I,C,24R
441,0.0,1992,,I,C,24Z
442,0.0,1992,,L,C,24E
443,0.0,1992,,L,C,24F
444,0.0,1992,,L,C,24A
445,0.0,1992,,L,C,24C
439,0.0,1992,,I,C,24P
69,0.0,1992,,U,A,24Z
430,0.0,1992,,D,C,24R
428,0.0,1992,,D,C,24K
414,0.0,1992,, ,C,24F
415,0.0,1992,, ,C,24A
416,0.0,1992,, ,C,24C
417,0.0,1992,, ,C,24N
418,0.0,1992,, ,C,24H
419,0.0,1992,, ,C,24P
429,0.0,1992,,D,C,24P
420,0.0,1992,, ,C,24R
422,0.0,1992,,D,C,24E
423,0.0,1992,,D,C,24F
424,0.0,1992,,D,C,24A
425,0.0,1992,,D,C,24C
426,0.0,1992,,D,C,24N
427,0.0,1992,,D,C,24H
421,0.0,1992,, ,C,24Z
33,0.0,1992,,L,A,24C
32,0.0,1992,,L,A,24A
31,0.0,1992,,L,A,24F
4884,0.0,1992,,D,B,24Z
4883,0.0,1992,,D,B,24R
4882,0.0,1992,,D,B,24P
4881,0.0,1992,,D,B,24K
4880,0.0,1992,,D,B,24H
4879,0.0,1992,,D,B,24N
4885,0.0,1992,,I,B,24E
4878,0.0,1992,,D,B,24C
4876,0.0,1992,,D,B,24F
4875,0.0,1992,,D,B,24E
4874,0.0,1992,, ,B,24Z
4873,0.0,1992,, ,B,24R
4872,0.0,1992,, ,B,24P
4871,0.0,1992,, ,B,24K
4877,0.0,1992,,D,B,24A
4870,0.0,1992,, ,B,24H
4886,0.0,1992,,I,B,24F
4888,0.0,1992,,I,B,24C
4902,0.0,1992,,L,B,24P
4901,0.0,1992,,L,B,24K
4900,0.0,1992,,L,B,24H
4899,0.0,1992,,L,B,24N
4898,0.0,1992,,L,B,24C
4897,0.0,1992,,L,B,24A
4887,0.0,1992,,I,B,24A
4896,0.0,1992,,L,B,24F
4894,0.0,1992,,I,B,24Z
4893,0.0,1992,,I,B,24R
4892,0.0,1992,,I,B,24P
4891,0.0,1992,,I,B,24K
4890,0.0,1992,,I,B,24H
4889,0.0,1992,,I,B,24N
4895,0.0,1992,,L,B,24E
4869,0.0,1992,, ,B,24N
4868,0.0,1992,, ,B,24C
4867,0.0,1992,, ,B,24A
17,0.0,1992,,D,A,24P
18,0.0,1992,,D,A,24R
19,0.0,1992,,D,A,24Z
20,0.0,1992,,I,A,24E
